,year,incident,containment,start_date,end_date,cdf_burned,other_burned,total_burned,struct_dest,struct_dam,death_fire,death_civil
72,2001,MMU-9668,100%,6/13/01,6/13/01,NA,1500,NA,0,0,0,0
73,2001,BEU-2101,100%,6/13/01,6/13/01,580,NA,580,0,0,0,0
74,2001,TGU-3132,100%,6/13/01,6/13/01,340,NA,340,0,0,0,0
75,2001,AEU-8312,100%,6/13/01,6/13/01,2240,NA,NA,15,1,0,0
76,2001,MMU-9689,100%,6/13/01,6/14/01,400,NA,400,2,0,0,0
77,2001,MMU-9668,100%,6/13/01,6/13/01,NA,1200,NA,0,0,0,0
78,2001,BDU-4825,100%,6/14/01,6/20/01,NA,1074,NA,NA,NA,NA,NA
79,2001,MMU-9893,100%,6/16/01,6/17/01,1550,NA,NA,0,0,0,0
80,2001,BDU4918,100%,6/16/01,6/18/01,NA,300,300,NA,NA,NA,NA
81,2001,NEU-9855,100%,6/17/01,7/1/01,5600,8900,NA,5,0,0,0
82,2001,RRU-41162,100%,6/17/01,6/18/01,393,NA,393,0,0,0,0
83,2001,TGU-3255,100%,6/17/01,6/17/01,650,NA,650,0,0,0,0
84,2001,SQF-1152,100%,6/18/01,6/19/01,NA,566,566,NA,NA,NA,NA
85,2001,MEU-4411,100%,6/23/01,6/25/01,610,NA,610,0,0,0,0
86,2001,SQF-1225,100%,6/23/01,6/25/01,NA,550,550,NA,NA,NA,NA
87,2001,RRU-42668,100%,6/23/01,6/24/01,1104,303,NA,0,1,0,0
88,2001,AEU-8916,100%,6/23/01,6/23/01,500,NA,500,0,0,0,0
89,2001,TUU-6158,100%,6/29/01,6/29/01,596,NA,596,0,0,0,0
90,2001,MMU-10898,100%,7/1/01,7/1/01,NA,700,700,0,0,0,0
91,2001,BDU5620,100%,7/2/01,7/5/01,NA,2900,NA,NA,NA,NA,NA
92,2001,TCU-4586,100%,7/3/01,7/3/01,550,NA,550,0,0,0,0
93,2001,AEU-9653,100%,7/5/01,7/5/01,300,NA,300,0,0,0,0
94,2001,AEU-9735,100%,7/6/01,7/6/01,550,NA,550,0,0,0,0
95,2001,RRU-47010,100%,7/9/01,7/9/01,350,NA,350,0,0,0,0
96,2001,RRU-47545,100%,7/11/01,7/12/01,548,NA,548,0,0,0,0
97,2001,YNP-1655,NA,7/13/01,NA,NA,8007,NA,NA,NA,NA,NA
98,2001,MMU-11907,100%,7/16/01,7/16/01,0,900,900,0,0,0,0
99,2001,RRU-50309,100%,7/22/01,7/23/01,1798,NA,NA,0,0,0,0
100,2001,MMU-12399,100%,7/24/01,7/25/01,800,NA,800,0,0,0,0
101,2001,LMU-1992,100%,7/25/01,7/27/01,992,NA,992,0,0,0,0
102,2001,BTU-8762,100%,7/26/01,7/26/01,0,3560,NA,NA,NA,NA,NA
103,2001,BDU-6307,100%,7/27/01,7/28/01,75,654,729,0,0,0,0
104,2001,SHU-7073,100%,7/28/01,8/1/01,490,NA,490,1,0,0,0
105,2001,AEU-11228,100%,7/31/01,7/31/01,535,NA,535,0,0,0,0
106,2001,SCU-3270,100%,8/3/01,8/4/01,400,NA,400,0,0,0,0
107,2001,MNF-667,100%,8/8/01,8/20/01,NA,24970,NA,30,NA,NA,NA
108,2001,NOD-2187,100%,8/8/01,8/9/01,NA,1670,NA,NA,NA,NA,NA
109,2001,LMU-2549,100%,8/8/01,8/8/01,NA,5367,NA,NA,NA,NA,NA
110,2001,LMU-2178,100%,8/8/01,8/8/01,NA,1100,NA,NA,NA,NA,NA
111,2001,SHU-7419,100%,8/9/01,8/10/01,624,NA,624,0,0,0,0
112,2001,LMU-2228,100%,8/9/01,8/12/01,NA,67700,NA,NA,NA,NA,NA
113,2001,LMU-2248,100%,8/9/01,8/10/01,NA,37950,NA,1,NA,NA,NA
114,2001,NEU-14033,100%,8/12/01,8/17/01,NA,2462,NA,1,NA,NA,NA
115,2001,BDU-6857,100%,8/12/01,8/15/01,NA,5800,NA,NA,NA,NA,NA
116,2001,NEU-14053,100%,8/12/01,8/12/01,NA,2206,NA,NA,NA,NA,NA
117,2001,MVU-5576,100%,8/14/01,8/15/01,20,793,813,0,0,0,0
118,2001,NEU-14446,100%,8/17/01,8/23/01,2780,NA,NA,0,0,0,0
119,2001,MMU-14026,100%,8/18/01,8/24/01,11095,NA,NA,43,0,0,0
120,2001,TCU- 6112,100%,8/19/01,8/25/01,5167,NA,NA,22,0,0,0
121,2001,FKU-10044,100%,8/19/01,8/29/01,30,4122,NA,8,NA,NA,NA
122,2001,MMU-14176,100%,8/20/01,NA,475,2455,NA,3,2,0,0
