system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
0000684e7f9e84be6566,USF,9.64249E+11,9,,9.68224E+11,MANTER,79223.42969,,,2000,31,"1=21731.019607843195, 7=108732.63529411751, 2=41054.0745098037, 8=113522.61568627432, 11=1129.7058823529412, 5=37627.137254901914",
00000f94555cf27c4c1c,USF,1.21222E+12,1,,1.21282E+12,CLOVER,15788.58984,,,2008,39,"1=11583.050980392174, 3=3419.09411764706, 2=12856.160784313759, 7=363.29411764705884, 5=1624.2941176470586, 8=12833.5843137255, 11=347.7607843137255",
00006142b4235968fbc7,BLM,1.12167E+12,16,,1.12219E+12,CHINA LAKE,10357.56836,,,2005,36,"8=4633.654901960783, 3=39057.525490196014, 4=2880.0",
0000af3379a9fd2307f1,BLM,1.34458E+12,1,,1.34683E+12,JAWBONE COMPLEX,12015.20801,,,2012,43,"1=603.435294117647, 3=1004.0196078431376, 2=31116.913725490347, 7=9584.650980392164, 6=560.0470588235294, 5=877.686274509804, 8=9986.023529411774, 10=16.521568627450982",
00006f12a1d3ed0ac7ba,USF,1.21464E+12,9,,1.2174E+12,PIUTE,37346.24609,,,2008,39,"1=100868.8078431371, 3=2121.768627450981, 2=33305.84313725494, 7=918.7921568627451, 6=976.2666666666665, 5=15938.752941176463, 8=13206.513725490226, 11=147.0, 10=3.5607843137254904",
000047bd3d18f51f0284,BLM,1.46667E+12,14,,1.46727E+12,ERSKINE,48008.35156,,,2016,47,"1=23521.964705882423, 3=25904.039215686444, 2=32741.968627451002, 7=27527.396078431455, 6=4708.5568627450975, 4=461.0, 5=6076.69411764706, 8=92228.53725490144, 9=395.0549019607843, 10=681.7098039215682",
000025d42ba72f564c52,CCO,1.31564E+12,1,,1.31624E+12,BRECKENRIDGE COMPLEX,25223.41211,,,2011,42,"1=32.976470588235294, 7=85679.74117647039, 6=16480.839215686316, 5=4991.866666666664, 8=5447.396078431374, 9=20.71764705882352, 10=24.0",
000075675f29aa8d6ae8,CCO,1.08962E+12,9,,1.09057E+12,PINE,16271.65234,,,2004,35,"1=2272.61568627451, 3=2784.2705882352925, 2=86.49803921568628, 7=12729.611764705958, 6=2141.1294117647058, 4=39.0, 5=11658.91764705885, 8=40398.2588235293, 9=723.4352941176471, 11=22.95294117647059, 10=20.0",
0000799c452ba982a1fb,CCO,1.18267E+12,2,,1.1831E+12,WHITE,12432.16016,,,2007,38,"1=760.364705882353, 3=15764.466666666674, 2=18869.690196078456, 7=12564.478431372547, 6=21.380392156862747, 5=146.4313725490196, 8=7691.799999999999",
000010acf5f874d25a58,CCO,1.31512E+12,16,,1.31564E+12,CANYON,14585.35938,,,2011,42,"1=4026.7999999999993, 3=21623.286274509897, 2=19577.74509803928, 7=6029.019607843135, 6=1944.0862745098038, 4=43.0, 5=1671.6470588235295, 8=10556.796078431371, 9=20.745098039215687, 11=43.64705882352942, 10=14.0",
