"","MAPMETHOD","AGENCY","COMPLEXNM","INCOMPLEX","FIRE_NAME","YEAR","GIS_ACRES","ALARM_DATE","CONT_DATE","CAUSE","YEARn"
"128",NA,"USF",NA,NA,"HALF","2008",15130.1464844,2008-06-20,2008-08-25,1,39
"129",NA,"USF",NA,NA,"PIUTE","2008",37346.2460938,2008-06-28,2008-07-30,9,39
"130",NA,"USF",NA,NA,"CLOVER","2008",15788.5898438,2008-05-31,2008-06-07,1,39
"131",NA,"USF",NA,NA,"BUCKHORN","2008",29814.3085938,2008-06-21,2008-07-31,1,39
"132",NA,"USF",NA,NA,"SHU LIGHTNING-DEERLICK FIRE","2008",12976.9326172,2008-06-20,NA,1,39
"133",NA,"USF",NA,NA,"SHU LIGHTNING-MOON FIRE","2008",35312.21875,2008-06-20,NA,1,39
"134",NA,"USF",NA,NA,"SHU LIGHTNING-MOTION FIRE","2008",28329.7402344,2008-06-20,NA,1,39
"135",NA,"CDF",NA,NA,"MILL","2008",13511.7558594,2008-06-21,2008-06-29,1,39
"136",NA,"USF",NA,NA,"STATION","2009",160833.109375,2009-08-26,2009-09-22,7,40
"137",NA,"USF",NA,NA,"LA BREA","2009",97815.3125,2009-08-08,2009-08-22,9,40
"138",NA,"CDF",NA,NA,"CORRAL","2009",12242.7607422,2009-08-13,2009-08-20,9,40
"139",NA,"CCO",NA,NA,"GUIBERSON","2009",17526.6855469,2009-09-22,2009-09-24,14,40
"140",NA,"CCO",NA,NA,"CROWN","2010",12582.2753906,2010-07-29,2010-08-02,2,41
"141",NA,"CCO",NA,NA,"BRECKENRIDGE COMPLEX","2011",25223.4121094,2011-09-10,2011-09-17,1,42
"142",NA,"CCO",NA,NA,"CANYON","2011",14585.359375,2011-09-04,2011-09-10,16,42
"143",NA,"CCO",NA,NA,"COMANCHE","2011",25939.0117188,2011-09-10,2011-09-17,1,42
"144",NA,"CDF",NA,NA,"EAGLE","2011",13992.9921875,2011-07-21,2011-07-29,7,42
"145",NA,"USF",NA,NA,"LION","2011",20681.5390625,2011-07-08,2011-11-08,1,42
"146",NA,"BLM",NA,NA,"JAWBONE COMPLEX","2012",12015.2080078,2012-08-10,2012-09-05,1,43
"147",NA,"BLM",NA,NA,"STWEART","2012",10630.2255859,2012-08-13,2012-08-20,1,43
"148",NA,"BLM",NA,NA,"WILSON","2012",11667.1376953,2012-08-13,2012-08-20,1,43
"149",NA,"BLM",NA,NA,"INDIAN","2012",12575.2382813,2012-08-08,2012-08-24,1,43
"150",NA,"USF",NA,NA,"GOFF","2012",22266.9453125,2012-08-05,2012-10-01,1,43
"151",NA,"CDF",NA,NA,"SIXTEEN_COMPLEX","2012",17942.1484375,2012-09-04,2012-09-15,7,43
"152",NA,"USF",NA,NA,"MILL","2012",29525.4511719,2012-07-07,2012-07-18,9,43
"153",NA,"USF",NA,NA,"NORTH PASS","2012",41812.5195313,2012-06-18,2012-09-27,1,43
"154",NA,"BLM",NA,NA,"RUSH","2012",315511.5,2012-08-12,2012-10-22,1,43
"155",NA,"USF",NA,NA,"CHIPS","2012",76349.7109375,2012-07-28,2012-08-31,4,43
"156",NA,"USF",NA,NA,"BAGLEY","2012",46040.1484375,2012-08-18,2012-10-29,1,43
"157",NA,"CDF",NA,NA,"PONDEROSA","2012",27670.3789063,2012-08-18,2012-10-12,1,43
"158",NA,"USF",NA,NA,"BARRY POINT","2012",92944.53125,2012-08-06,2012-09-17,1,43
"159",NA,"USF",NA,NA,"POWERHOUSE","2013",30267.6914063,2013-05-30,2013-12-18,9,44
"160",NA,"CDF",NA,NA,"MOUNTAIN","2013",27523.6660156,2013-07-15,2013-07-30,9,44
"161",NA,"USF",NA,NA,"SALMON COMPLEX","2013",14785.8759766,2013-07-31,2013-08-25,7,44
"162",NA,"CDF",NA,NA,"SILVER","2013",20308.453125,2013-08-07,2013-08-13,14,44
"163",NA,"USF",NA,NA,"ASPEN","2013",22937.5214844,2013-07-22,2013-09-08,1,44
"164",NA,"USF",NA,NA,"BUTLER","2013",22444.8613281,2013-07-31,2013-10-01,7,44
"165",NA,"USF",NA,NA,"CORRAL","2013",12541.4150391,2013-08-10,2013-10-02,1,44
"166",NA,"USF",NA,NA,"RIM","2013",256175.53125,2013-08-17,2013-10-24,4,44
"167",NA,"CDF",NA,NA,"DEER","2013",11428.7529297,2013-08-23,2013-08-29,9,44
"168",NA,"USF",NA,NA,"AMERICAN","2013",27430.5214844,2013-08-10,2013-10-08,9,44
"169",NA,"CCO",NA,NA,"SPRINGS","2013",24059.8574219,2013-05-02,2013-05-08,14,44
"170",NA,"USF",NA,NA,"SPRING PEAK","2013",14267.0927734,2013-08-18,2013-08-27,1,44
"171",NA,"CDF",NA,NA,"DAY","2014",13150.6660156,2014-07-30,2014-08-13,1,45
"172",NA,"CDF",NA,NA,"LODGE","2014",12533.1835938,2014-07-30,2014-09-18,1,45
"173",NA,"CDF",NA,NA,"BULLY","2014",12658.7412109,2014-07-11,2014-07-23,10,45
"174",NA,"OTH",NA,NA,"OREGON GULCH","2014",35111.2460938,2014-07-30,2014-08-13,1,45
"175",NA,"USF",NA,NA,"KING","2014",97684.546875,2014-09-13,2014-10-10,7,45
"176",NA,"USF",NA,NA,"BALD","2014",39752.1953125,2014-07-30,2014-08-15,1,45
"177",NA,"USF",NA,NA,"EILER","2014",31995.21875,2014-07-31,2014-08-24,9,45
