system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
000000000000000003fa,,-2209132800000,0,,-2209132800000,0,,0,,,0.0,0.0,,0,0,0.0,,0.0,0.0,,,0,{},,
000000000000000003fb,,,0,,,0,2020-07-10 12:57:33,0,CREWS,,5513.17059633,0.0,,1,0,0.0,,0.00225908523033,0.372564282673,,,0,"{71=14784.196078431358, 61=8.16078431372549, 21=4.3921568627450975, 82=25.611764705882354, 51=1181.043137254902, 42=1983.6862745098044, 23=0.1843137254901961, 41=2612.733333333334, 43=4142.4941176470575, 11=2.0, 31=44.0}",NIFSactive,
000000000000000003fc,,,0,,,0,2020-07-23 08:31:16,1,R2 - TRUMBULL,,576.658612156,0.0,,4,0,0.0,,2.47931171554E-4,0.127627874685,,,0,"{51=2579.7999999999965, 71=11.764705882352942, 31=0.8627450980392157}",NIFSactive,
000000000000000003fd,,,0,,,0,2020-08-05 18:11:14,2,DALTON,,1367.07338672,0.0,,7,0,0.0,,5.98639497102E-4,0.183712190536,,,0,"{42=813.3764705882355, 51=5316.345098039215, 71=16.5921568627451}",NIFSactive,
000000000000000003fe,,,0,,,0,2020-08-05 18:11:14,3,ALLEN,,1034.79110445,0.0,,8,0,0.0,,4.50604530658E-4,0.157617543182,,,0,"{71=524.0705882352944, 83=0.01568627450980392, 51=1169.1725490196077, 42=2871.243137254902, 23=4.0, 92=71.30588235294118, 43=7.619607843137255, 31=5.066666666666666}",NIFSactive,
000000000000000003ff,,,0,,,0,2020-08-12 09:55:13,4,STAGECOACH,,7602.17129909,0.0,,13,0,0.0,,0.00305446504734,0.442597547623,,,0,"{71=8184.007843137254, 81=1.0, 51=9863.113725490197, 41=3369.745098039217, 23=1.0, 42=11000.549019607843, 43=1348.301960784314, 31=413.69019607843137}",NIFSactive,
00000000000000000400,,,0,,,0,2020-08-18 16:28:14,5,R-5,,471.720243546,0.0,,21,0,0.0,,2.03104880353E-4,0.0978715434349,,,0,"{51=2020.63137254902, 71=23.733333333333334, 31=76.31764705882352}",NIFSactive,
00000000000000000401,,,0,,,0,2020-08-05 18:11:14,6,CALDWELL,,81224.3714313,0.0,,22,0,0.0,,0.0355732777411,1.83242699628,,,0,"{51=276216.4431372545, 92=265.678431372549, 11=88.66274509803925, 31=2542.0823529411778, 32=33.0, 71=21168.407843137273, 42=64671.46666666666, 82=32.35686274509804, 83=155.03921568627453, 85=2.0, 23=32.03137254901961, 81=3.0, 41=5.0627450980392155, 43=5.623529411764705}",NIFSactive,
00000000000000000402,,,0,,,0,2020-08-19 21:10:56,7,BEACH,,3668.4157376,0.0,,23,0,0.0,,0.00152140448311,0.27288386677,,,0,"{51=15882.603921568627, 71=52.35294117647059, 23=0.5882352941176471, 41=1.0, 31=557.4196078431373}",NIFSactive,
00000000000000000403,,,0,,,0,2020-07-21 19:25:33,8,MINERAL,,29666.8421487,0.0,,27,0,0.0,,0.0120268730125,0.926427062748,,,0,"{91=1.0, 51=35374.564705882374, 31=5928.49019607843, 71=35148.88627450983, 42=39075.909803921575, 83=2.0, 84=126.0, 82=2.992156862745098, 81=45.12941176470588, 23=71.82745098039217, 41=1471.5686274509806, 43=16033.07843137256, 21=112.09803921568627}",NIFSactive,
00000000000000000404,,,0,,,0,2020-08-04 13:34:28,9,GOLD,,22633.7394885,0.0,,28,0,0.0,,0.00981248787787,1.03226881018,,,0,"{71=4203.831372549018, 42=64851.266666666656, 82=0.2196078431372549, 83=2.67843137254902, 51=32514.09803921569, 81=108.0666666666667, 41=17.0, 92=15.12941176470588, 43=45.0, 11=14.015686274509804}",NIFSactive,
00000000000000000405,,,0,,,0,2020-08-14 11:35:22,10,WALKER,,1456.10793491,0.0,,29,0,0.0,,6.05008697724E-4,0.131925551815,,,0,"{51=1750.4784313725495, 71=2227.227450980392, 41=858.3921568627453, 42=1486.858823529412, 43=224.19215686274507}",NIFSactive,
00000000000000000406,,,0,,,0,2020-08-13 11:20:02,11,NORTH,,6882.26729827,0.0,,35,0,0.0,,0.00117193151238,0.224542513454,,,0,"{51=10512.18823529411, 71=1761.7607843137246, 23=0.2431372549019608, 41=81.13725490196079, 31=16.0}",NIFSactive,
00000000000000000407,,,0,,,0,2020-07-30 13:37:15,12,ADAMS,,901.669555731,0.0,,38,0,0.0,,3.84465952445E-4,0.111340834965,,,0,"{23=9.737254901960785, 51=2070.7215686274517, 71=1954.9803921568619, 81=0.027450980392156862, 42=9.372549019607844, 31=9.0}",NIFSactive,
00000000000000000408,,,0,,,0,2020-08-17 10:06:59,13,TRIMMER,,593.862668531,0.0,,42,0,0.0,,2.42980595039E-4,0.0847783895028,,,0,"{51=1126.117647058824, 71=52.44705882352941, 42=1359.7803921568627, 41=130.54901960784312, 43=1.0}",NIFSactive,
00000000000000000409,,,0,,,0,2020-09-01 22:39:04,14,HOG,,9566.32543584,0.0,,44,0,0.0,,0.00410799836769,0.681470588133,,,0,"{32=6.0, 71=2684.6156862745083, 51=8627.137254901963, 41=47.52549019607843, 23=0.1411764705882353, 42=31582.10980392159, 43=65.12156862745098}",NIFSactive,
0000000000000000040a,,,0,,,0,2020-07-15 13:38:44,15,HOG,,527.486309274,0.0,,51,0,0.0,,2.1574879909E-4,0.0652887707708,,,0,"{51=1149.0941176470587, 71=233.60392156862753, 41=676.1019607843136, 42=281.8274509803922, 43=31.066666666666666}",NIFSactive,
0000000000000000040b,,,0,,,0,2020-08-26 17:26:36,16,MOC,,2867.93830791,0.0,,53,0,0.0,,0.00118710788376,0.190331443132,,,0,"{51=3625.470588235294, 71=1158.4901960784316, 42=4550.647058823526, 41=1792.9294117647055, 43=1767.56862745098}",NIFSactive,
0000000000000000040c,,,0,,,0,2020-09-04 18:46:50,17,LAKE,,30999.2885572,0.0,,54,0,0.0,,0.0123392904429,0.965937497802,,,0,"{91=8.0, 51=88951.15686274503, 92=3.0, 11=5.0, 31=798.2745098039217, 71=7777.247058823528, 61=16.03921568627451, 42=34128.13725490197, 82=90.89803921568627, 83=17.192156862745097, 84=1.0, 85=2.1411764705882352, 81=1935.4117647058822, 23=2.0, 41=1934.3803921568624, 43=3692.713725490198, 21=23.36078431372549}",NIFSactive,
0000000000000000040d,,,0,,,0,2020-08-25 10:15:06,18,RIVER,,48921.2480166,0.0,,59,0,0.0,,0.0199093996202,1.26756396413,,,0,"{91=4.0, 51=61655.62745098038, 31=2397.592156862745, 32=32.603921568627456, 71=62417.19999999998, 61=2.32156862745098, 42=76078.04313725494, 85=127.1921568627451, 83=111.70588235294116, 82=165.921568627451, 81=124.67843137254903, 23=2.0, 41=2197.121568627451, 43=14563.023529411763, 21=91.58431372549019}",NIFSactive,
0000000000000000040e,,,0,,,0,2020-08-25 10:16:38,19,CARMEL.,,6978.20674153,0.0,,60,0,0.0,,0.00283754696059,0.437699109591,,,0,"{91=15.0, 51=11862.180392156859, 92=0.19215686274509805, 11=68.09803921568627, 31=404.65882352941173, 71=3966.2509803921557, 61=1.0, 81=2.843137254901961, 83=5.1803921568627445, 85=5.0, 84=2.0, 82=5.686274509803921, 42=13223.19607843137, 23=2.2, 41=442.78823529411767, 43=1361.8156862745095, 21=8.0}",NIFSactive,
0000000000000000040f,,,0,,,0,2020-09-02 15:10:13,20,DOME,,44211.0845875,0.0,,61,0,0.0,,0.0177290074859,0.775276477625,,,0,"{23=89.0, 51=194369.52156862782, 71=3039.5450980392156, 81=1.0, 42=1.0, 31=1292.152941176471}",NIFSactive,
00000000000000000410,,,0,,,0,2020-08-27 11:28:07,21,R-8 PINECONE,,566.492399005,0.0,,74,0,0.0,,2.44554446584E-4,0.104620305926,,,0,"{51=2185.619607843138, 71=0.6352941176470588, 42=33.54509803921569, 31=327.01176470588234}",NIFSactive,
00000000000000000411,,,0,,,0,2020-09-11 08:07:07,22,LNU LIGHTNING COMPLEX,,363218.892872,0.0,,75,0,0.0,,0.15204029758,9.64158201373,,,0,"{91=41.956862745098036, 51=211053.3725490194, 92=369.06666666666666, 11=1573.027450980392, 31=103.51372549019607, 32=290.121568627451, 71=422164.12549019605, 61=11552.68235294118, 85=81.69411764705882, 82=129.84313725490196, 83=1.3725490196078431, 23=159.45490196078427, 41=212968.7137254903, 81=14159.133333333335, 42=393393.91764705896, 43=364086.7098039214, 21=1055.2274509803922}",NIFSactive,
00000000000000000412,,,0,,,0,2020-08-28 10:00:41,23,LOYALTON,,46720.777051,0.0,,76,0,0.0,,0.0198574223784,1.05807192875,,,0,"{71=37499.61176470591, 91=10.498039215686275, 42=40754.984313725436, 51=129379.55686274487, 23=74.56470588235298, 81=1248.4627450980395, 41=877.870588235294, 43=187.58823529411765, 11=0.36470588235294116, 31=43.29803921568627}",NIFSactive,
00000000000000000413,,,0,,,0,2020-08-28 16:05:46,24,STAGECOACH,,0.0586002313722,0.0,,80,0,0.0,,2.50144271162E-8,7.30875299512E-4,,,0,"{41=0.08235294117647059, 71=0.17254901960784313}",NIFSactive,
00000000000000000414,,,0,,,0,2020-09-15 04:32:36,25,SLINK,,26751.6780307,0.0,,85,0,0.0,,0.011183498568,0.969812324275,,,0,"{71=8888.270588235288, 81=814.5490196078429, 51=44904.07058823539, 12=2.0, 41=2876.003921568627, 42=60972.258823529475, 43=1775.745098039216, 31=52.73725490196078}",NIFSactive,
00000000000000000415,,,0,,,0,2020-09-20 17:36:29,26,WELCH,,762.308151273,0.0,,86,0,0.0,,3.1458263891E-4,0.0893960590328,,,0,"{71=2001.1529411764704, 51=362.57254901960795, 21=0.15294117647058825, 42=351.2274509803924, 41=349.5215686274511, 43=359.40000000000003, 11=0.25882352941176473, 31=3.0}",NIFSactive,
00000000000000000416,,,0,,,0,2020-09-20 17:36:30,27,OHLONE,,5212.06865121,0.0,,87,0,0.0,,0.00215510607876,0.563075681332,,,0,"{71=11614.4431372549, 51=1616.0392156862747, 81=54.96470588235294, 41=3172.949019607843, 42=2903.819607843137, 43=4043.2156862745096, 21=3.768627450980392, 31=24.63529411764706}",NIFSactive,
00000000000000000417,,,0,,,0,2020-09-05 08:46:28,28,DEL PUERTO,,390647.255599,0.0,,88,0,0.0,,0.160760166565,4.41313133047,,,0,"{32=123.0, 71=795382.1960784316, 91=5.0, 11=376.83921568627454, 83=4.0, 51=334004.65882352943, 42=232152.48235294118, 41=226205.9490196079, 92=43.53333333333333, 43=167760.43529411763, 21=382.5098039215686, 31=99.09411764705882}",NIFSactive,
00000000000000000418,,,0,,,0,2020-09-19 12:42:18,29,WOODWARD,,4901.70772076,0.0,,89,0,0.0,,0.00203534643282,0.307002745812,,,0,"{71=2323.5882352941167, 91=35.55294117647058, 21=7.0, 51=1974.4705882352932, 42=15118.65490196078, 41=169.78823529411764, 92=258.3529411764706, 43=2062.2078431372547, 11=1.3490196078431373, 31=88.69019607843137}",NIFSactive,
00000000000000000419,,,0,,,0,2020-09-16 09:46:02,30,AUGUST COMPLEX SOUTH ZONE,,50.7037115715,0.0,,90,0,0.0,,2.14543974456E-5,0.0192242832538,,,0,"{51=19.694117647058825, 71=46.44313725490196, 42=121.88627450980393, 41=1.0235294117647058, 43=38.81176470588236}",NIFSactive,
0000000000000000041a,,,0,,,0,2020-09-06 21:37:47,32,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,6.36420482429,0.0,,92,0,0.0,,2.71766975439E-6,0.00762934892397,,,0,"{42=26.580392156862743, 43=2.0}",NIFSactive,
0000000000000000041b,,,0,,,0,2020-09-06 21:37:47,33,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,285.036544411,0.0,,93,0,0.0,,1.21213638057E-4,0.0599587124557,,,0,"{51=105.62745098039215, 71=597.2000000000003, 41=425.6274509803922, 42=41.03529411764707, 43=112.06666666666669}",NIFSactive,
0000000000000000041c,,,0,,,0,2020-09-06 21:37:47,34,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,0.00297262625768,0.0,,94,0,0.0,,1.26673289034E-9,1.4095519299E-4,,,0,"{42=0.00784313725490196, 43=0.00392156862745098}",NIFSactive,
0000000000000000041d,,,0,,,0,2020-09-06 21:37:47,35,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,93.7552727876,0.0,,95,0,0.0,,3.99970782881E-5,0.027538266107,,,0,"{51=4.364705882352941, 71=0.2901960784313726, 42=394.0901960784313, 41=0.9411764705882353, 43=21.717647058823527}",NIFSactive,
0000000000000000041e,,,0,,,0,2020-09-06 21:37:47,36,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,21.329833825,0.0,,96,0,0.0,,9.09944145354E-6,0.0160390024737,,,0,"{41=1.0, 43=18.7921568627451, 42=76.01568627450979}",NIFSactive,
0000000000000000041f,,,0,,,0,2020-09-06 21:37:47,37,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,1.39189098528,0.0,,97,0,0.0,,5.93767533033E-7,0.00425565967618,,,0,{42=6.235294117647059},NIFSactive,
00000000000000000420,,,0,,,0,2020-09-06 21:37:47,38,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,174.50734042,0.0,,98,0,0.0,,7.45092470489E-5,0.0531939404716,,,0,"{51=0.8627450980392156, 71=1.0, 42=665.529411764706, 41=1.635294117647059, 43=115.30588235294118}",NIFSactive,
00000000000000000421,,,0,,,0,2020-09-06 21:37:47,39,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,27.6100507385,0.0,,99,0,0.0,,1.17920809008E-5,0.0171699872408,,,0,"{42=87.07450980392156, 43=37.588235294117645}",NIFSactive,
00000000000000000422,,,0,,,0,2020-09-06 21:37:47,40,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,0.631519722441,0.0,,100,0,0.0,,2.6767753774E-7,0.00213877928611,,,0,{42=2.831372549019608},NIFSactive,
00000000000000000423,,,0,,,0,2020-09-06 21:37:47,41,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,926.247675582,0.0,,101,0,0.0,,3.92826261513E-4,0.134532532017,,,0,"{41=1341.5058823529412, 51=175.10980392156867, 71=537.0039215686274, 23=0.2549019607843137, 42=1754.0823529411764, 43=356.65098039215695}",NIFSactive,
00000000000000000424,,,0,,,0,2020-09-06 21:37:47,42,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,0.0577509833843,0.0,,102,0,0.0,,2.44889105544E-8,7.82437894927E-4,,,0,{42=0.27058823529411763},NIFSactive,
00000000000000000425,,,0,,,0,2020-09-06 21:37:47,43,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,0.0702670466872,0.0,,103,0,0.0,,2.97886651884E-8,9.52120176143E-4,,,0,{42=0.3254901960784314},NIFSactive,
00000000000000000426,,,0,,,0,2020-09-06 21:37:47,44,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,92.3631127126,0.0,,104,0,0.0,,3.94197540854E-5,0.0326659433487,,,0,"{51=0.4549019607843137, 42=267.9372549019609, 41=1.0, 43=145.9372549019608}",NIFSactive,
00000000000000000427,,,0,,,0,2020-09-06 21:37:47,45,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,0.00732912901511,0.0,,105,0,0.0,,3.12410989167E-9,2.21617231898E-4,,,0,{42=0.03137254901960784},NIFSactive,
00000000000000000428,,,0,,,0,2020-09-06 21:37:47,46,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,12.3285981824,0.0,,106,0,0.0,,5.25432564268E-6,0.010896290923,,,0,"{51=3.9333333333333336, 71=0.37254901960784315, 42=40.37254901960784, 41=1.0, 43=9.678431372549019}",NIFSactive,
00000000000000000429,,,0,,,0,2020-09-06 21:37:47,47,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,946.67643158,0.0,,107,0,0.0,,4.0390534314E-4,0.150805400607,,,0,"{51=5.0, 71=1.1450980392156862, 42=3937.6666666666683, 41=1.219607843137255, 43=311.2509803921568}",NIFSactive,
0000000000000000042a,,,0,,,0,2020-09-06 21:37:47,48,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,7.68602598952,0.0,,108,0,0.0,,3.27171370096E-6,0.0105417326011,,,0,"{41=1.1725490196078432, 71=33.33725490196078}",NIFSactive,
0000000000000000042b,,,0,,,0,2020-09-06 23:24:14,50,W-5 COLD SPRINGS,,84817.2739164,0.0,,110,0,0.0,,0.0304250638498,1.50918421056,,,0,"{71=11570.992156862745, 91=1.996078431372549, 92=1061.2470588235292, 81=2.5568627450980395, 12=0.5803921568627451, 51=248922.56862745105, 41=158.4392156862745, 23=109.32156862745097, 42=48386.77254901962, 43=189.17254901960786, 11=3477.349019607843, 31=1527.0941176470587}",NIFSactive,
0000000000000000042c,,,0,,,0,2020-09-09 10:17:27,51,CZU LIGHTNING,,86562.3811893,0.0,,111,0,0.0,,0.0355301292546,2.0507334715,,,0,"{51=33259.83921568628, 11=99.94509803921568, 31=296.8156862745098, 32=481.8156862745097, 61=513.5764705882353, 71=17730.909803921568, 83=34.71372549019608, 41=2396.9294117647055, 82=13.874509803921567, 23=25.301960784313728, 81=3674.337254901959, 42=313929.5921568627, 43=13860.760784313728, 21=2905.172549019607}",NIFSactive,
0000000000000000042d,,,0,,,0,2020-09-06 21:33:47,52,"BUTTE, TEHAMA, GLENN LIGHTNING COMPLEX",,1.94838109167,0.0,,112,0,0.0,,8.31412803502E-7,0.00389141519982,,,0,{42=8.772549019607842},NIFSactive,
0000000000000000042e,,,0,,,0,2020-09-08 22:39:25,53,SHEEP,,29541.0305443,0.0,,113,0,0.0,,0.0126680784051,0.98985502506,,,0,"{71=4290.568627450981, 42=110648.90588235299, 51=16001.886274509809, 81=877.1843137254896, 23=4.1686274509803924, 41=25.0, 43=968.3490196078432, 11=7.0, 31=6.0}",NIFSactive,
0000000000000000042f,,,0,,,0,2020-09-19 11:40:48,54,VALLEY,,17065.1584998,0.0,,114,0,0.0,,0.00664389735704,0.828649975008,,,0,"{91=5.0, 51=58212.55294117649, 11=109.37254901960789, 31=716.7098039215687, 71=5261.729411764707, 61=1.0, 42=10942.156862745096, 84=0.7490196078431373, 83=8.0, 82=306.278431372549, 81=268.47843137254904, 23=0.8941176470588236, 41=490.61568627450976, 43=403.63529411764705, 21=5.0}",NIFSactive,
00000000000000000430,,,0,,,0,2020-09-12 16:03:08,55,MORAINE,,557.884619949,0.0,,115,0,0.0,,2.27731148513E-4,0.0756807049192,,,0,"{42=2070.8470588235286, 51=430.43921568627434, 71=7.231372549019608}",NIFSactive,
00000000000000000431,,,0,,,0,2020-09-20 22:40:51,56,DOLAN,,128008.383358,0.0,,116,0,0.0,,0.0518245663407,2.0346585631,,,0,"{91=72.1450980392157, 51=145921.85098039205, 11=78.54901960784315, 31=9666.509803921566, 71=100126.8823529414, 42=239753.6274509806, 83=64.0, 85=158.12156862745098, 84=10.313725490196079, 82=109.27843137254902, 23=74.28235294117648, 81=304.09411764705885, 41=5875.27843137255, 43=72229.01960784312, 21=1142.301960784314}",NIFSactive,
00000000000000000432,,,0,,,0,2020-09-21 05:55:49,57,RED SALMON COMPLEX,,104666.84253,0.0,,117,0,0.0,,0.0454166084288,2.3686266382,,,0,"{33=330.8705882352941, 71=15206.584313725492, 23=2.0, 51=26052.294117647056, 21=1.0, 42=382272.619607843, 41=6323.654901960784, 43=37983.30196078429, 11=71.28627450980392, 31=2385.3803921568624}",NIFSactive,
00000000000000000433,,,0,,,0,2020-09-21 05:32:49,58,CLAREMONT-BEAR,,294528.576128,0.0,,118,0,0.0,,0.125098450506,4.40103514489,,,0,"{33=7179.7411764705885, 71=29191.09803921567, 81=7.027450980392157, 21=2946.7568627450983, 51=53564.156862745105, 42=1089742.094117647, 23=5.0, 41=22468.274509803923, 43=108654.76470588233, 11=9047.17647058823, 31=359.15294117647056}",NIFSactive,
00000000000000000434,,,0,,,0,2020-09-20 15:28:25,59,FORK,,1665.24929486,0.0,,119,0,0.0,,7.00627373392E-4,0.222283267944,,,0,"{51=271.964705882353, 71=257.078431372549, 42=6419.490196078435, 41=50.0, 43=487.63137254901966, 31=1.0}",NIFSactive,
00000000000000000435,,,0,,,0,2020-09-18 08:50:02,60,WOLF,,1031.97946119,0.0,,120,0,0.0,,4.2769784991E-4,0.226865473508,,,0,"{51=694.16862745098, 71=71.05098039215686, 42=3765.2392156862775, 41=12.43921568627451, 43=77.74901960784314, 31=18.835294117647056}",NIFSactive,
00000000000000000436,,,0,,,0,2020-09-18 09:17:49,61,RATTLESNAKE,,2078.38718601,0.0,,121,0,0.0,,8.45194078311E-4,0.189253893653,,,0,"{71=1598.6901960784312, 91=6.250980392156863, 82=9.0, 42=4738.3372549019605, 51=2338.9764705882358, 81=9.498039215686275, 23=1.0, 41=39.537254901960786, 43=234.17254901960786, 11=4.0, 31=365.24313725490185}",NIFSactive,
00000000000000000437,,,0,,,0,2020-09-19 03:18:04,62,EL DORADO,,22215.4569068,0.0,,123,0,0.0,,0.00867536987969,0.945025546348,,,0,"{91=33.98039215686275, 51=29608.270588235242, 11=21.847058823529412, 31=123.79215686274512, 71=2414.588235294118, 61=58.439215686274515, 42=61696.24705882354, 84=12.086274509803921, 85=0.8274509803921569, 83=63.49019607843139, 82=362.9176470588234, 23=5.2745098039215685, 81=254.30588235294127, 41=1325.1215686274506, 43=2596.317647058825, 21=90.5529411764706}",NIFSactive,
00000000000000000438,,,0,,,0,2020-09-20 05:38:48,63,DEVIL,,7463.8574474,0.0,,125,0,0.0,,0.00327840225602,0.672504050607,,,0,"{33=16.0, 71=4118.5999999999985, 91=1.0, 51=901.1686274509801, 42=26073.92156862746, 41=1226.4666666666672, 43=1203.3137254901965, 11=5.0, 31=14.0}",NIFSactive,
00000000000000000439,,,0,,,0,2020-09-20 19:19:53,64,SLATER,,148788.484044,0.0,,126,0,0.0,,0.0467620026838,3.0307237639,,,0,"{33=221.7294117647059, 71=31421.97647058823, 91=15.0, 92=77.4078431372549, 11=134.5843137254902, 51=12908.737254901973, 41=9781.043137254903, 23=244.76470588235298, 42=378407.73725490196, 43=44684.61568627442, 21=72.80392156862746, 31=839.6941176470588}",NIFSactive,
0000000000000000043a,,,0,,,0,2020-09-20 21:04:10,65,AUGUST COMPLEX NORTH ZONE,,3116.18425716,0.0,,127,0,0.0,,8.63475026996E-5,0.12755227328,,,0,"{33=2.0941176470588236, 71=9.670588235294117, 51=582.4509803921568, 41=3.4235294117647057, 23=5.313725490196079, 42=279.70196078431377, 43=5.48235294117647, 31=0.7686274509803922}",NIFSactive,
0000000000000000043b,,,0,,,0,2020-09-20 21:04:10,66,AUGUST COMPLEX NORTH ZONE,,267527.396109,0.0,,128,0,0.0,,0.114274902028,5.92379430426,,,0,"{33=2361.858823529411, 71=140548.85098039216, 23=13.0, 51=186641.16862745094, 11=44.91764705882353, 42=727372.9333333324, 41=57024.788235294094, 43=80097.21960784313, 21=1.0, 31=7186.419607843138}",NIFSactive,
