system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
0000000000000000013f,BLM,1312354800000,11,,1312441200000,1,,0,58 COMPLEX,,0.0,674.245,00002605,0,1,665.0,CA,2728573.23292,13873.8933667,BBD,2011,2011,"{71=1856.298039215687, 23=10.392156862745098, 21=587.0627450980393, 22=50.19607843137255, 52=514.8823529411766, 31=12.282352941176471}",,
00000000000000000140,BLM,1316934000000,1,,1317538800000,1,,0,BUCKEYE,,0.0,1045.61,00000994,0,1,1140.0,CA,4231429.44803,13038.5111158,BBD,2011,2011,"{42=32.06666666666667, 71=4350.2156862745105, 52=318.7764705882351}",,
00000000000000000149,BLM,1316847600000,9,,1317020400000,1,,0,WINDY POINT,,0.0,541.496,00013860,0,1,541.1,CA,2191357.10505,6789.58861279,CDD,2011,2011,"{71=142.18039215686278, 21=6.458823529411765, 22=1.0745098039215686, 31=480.6431372549019, 52=1804.1999999999991}",,
0000000000000000016f,BLM,1313650800000,14,,1314342000000,1,,0,ANNIE,,0.0,2075.78,00003546,0,1,2076.0,CA,8400383.1411,13645.6246039,NOD,2011,2011,"{71=8728.796078431371, 90=32.0, 21=2.3019607843137253, 42=103.27058823529413, 43=2.6392156862745098, 11=1.1019607843137256, 52=463.0862745098041}",,
00000000000000000170,BLM,1310713200000,14,,1310886000000,1,,0,HERLONG,,0.0,324.907,00002892,0,1,325.0,CA,1314852.24279,7260.38525181,NOD,2011,2011,"{71=1218.435294117647, 52=242.09803921568624}",,
0000000000000000018b,BLM,1339830000000,9,"Incindiary, CALFIRE # 59216",1340175600000,1,,0,HIGHLAND,,0.0,2177.43,00008368,0,1,2176.7,CA,8811729.31386,15331.1858666,CDD,2012,2012,"{71=5276.717647058825, 90=4.949019607843137, 95=55.10588235294117, 52=4453.403921568626}",,
0000000000000000018e,BLM,1336287600000,9,Shooting CAL FIRE Inc # 96791,1336287600000,1,,0,RANGE,,0.0,322.593,00013912,0,1,15.6,CA,1305488.06708,6753.33436631,CDD,2012,2012,"{43=6.0, 71=865.0117647058823, 52=579.2980392156862}",,
00000000000000000191,BLM,1339916400000,2,Wind turbine CALFIRE Inc# 59775,1340089200000,1,,0,VIEW,,0.0,376.149,00009046,0,1,367.0,CA,1522221.14485,7558.71912746,CDD,2012,2012,"{71=496.14509803921567, 21=27.207843137254905, 52=900.4980392156862, 31=267.21568627450984}",,
000000000000000001af,BLM,1342594800000,14,,1343286000000,1,,0,SPANISH,,0.0,1150.86,00003016,0,1,1169.0,CA,4657355.79285,11529.9730311,NOD,2012,2012,"{42=521.9568627450981, 71=4398.87843137255, 52=253.36470588235298}",,
0000000000000000014e,CCO,1316761200000,1,,1316847600000,1,,0,65,,0.0,2003.45,01129619,0,1,2000.0,CA,8107674.46787,18473.1743302,KRN,2011,2011,"{82=8.188235294117646, 71=8079.019607843134, 21=155.08235294117645, 52=765.6156862745098}",,
00000000000000000151,CCO,1315638000000,1,Keene Complex  alt inc # 27912,1315983600000,1,,0,BLACK,,0.0,2577.55,01127912,0,1,2577.0,CA,1.04309656331E7,15009.2168908,KRN,2011,2011,"{71=9967.952941176472, 41=46.470588235294116, 42=417.1529411764707, 43=11.576470588235292, 52=1146.0627450980408}",,
00000000000000000152,CCO,1315638000000,1,,1315724400000,1,,0,BLUE,,0.0,561.44,01128019,0,1,560.0,CA,2272067.83331,7954.87742457,KRN,2011,2011,"{71=2478.1803921568626, 52=46.33333333333333}",,
00000000000000000154,CCO,1315638000000,1,Keene Complex alt inc # 27912,1315638000000,1,,0,CALIENTE,,0.0,552.279,01127912,0,1,552.0,CA,2234992.99099,6894.58029645,KRN,2011,2011,"{71=2427.3176470588246, 23=0.5215686274509804, 24=0.0196078431372549, 22=2.454901960784314, 21=39.88627450980393, 52=12.831372549019608}",,
