system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
00000000000000000466,CCO,1183791600000,14,,,0,,0,CANYON,00148415,0.0,743.48,00148415,0,1,743.0,CA,3008756.59234,12308.8669532,LAC,2007,2007,"{71=486.1098039215685, 23=21.470588235294112, 24=0.1843137254901961, 22=78.41176470588232, 21=38.968627450980385, 52=2717.4784313725495}",,
000000000000000005b5,BLM,1165564800000,11,,1165651200000,1,,0,MCKITTRICK,0000C80N,0.0,301.515,00004139,0,1,301.0,CA,1220187.22303,7539.39126597,BBD,2006,2006,"{21=77.66666666666664, 71=1243.8862745098038, 52=33.850980392156856}",,
0000000000000000062d,BLM,1152601200000,9,,1152601200000,1,,0,BECK,0000CX4M,0.0,1668.11,00162110,0,1,1669.5,CA,6750588.63108,17409.9440163,BBD,2006,2006,"{71=6905.619607843141, 21=482.40392156862737, 52=111.32941176470588, 31=0.9529411764705882}",,
00000000000000000652,BLM,1160550000000,9,,1160550000000,1,,0,CUYAMA,0000C7WE,0.0,925.705,00163721,0,1,925.0,CA,3746196.79175,13711.9591263,BBD,2006,2006,"{21=111.12941176470586, 71=4024.360784313727, 52=26.40392156862745}",,
00000000000000000479,BLM,,1,,1175842800000,1,,0,WALKER,00000622,0.0,794.124,00000622,0,1,793.3,CA,3213705.87038,11111.0891432,BBD,2007,2007,"{21=52.36862745098039, 52=3518.0941176470587}",,
0000000000000000047a,BLM,1184914800000,9,,1182582000000,1,,0,BROWN,00001504,0.0,1430.32,00001504,0,1,84.7,CA,5788288.83312,16089.6050923,BBD,2007,2007,"{82=582.0549019607844, 71=5723.349019607843, 23=15.529411764705882, 22=42.87058823529412, 21=66.67058823529412}",,
00000000000000000495,BLM,1181026800000,4,,1181286000000,1,,0,INKOPAH,00006518,0.0,698.972,00006518,0,1,1118.0,CA,2784928.7245,9506.89168962,CDD,2007,2007,"{71=133.04705882352943, 82=75.0, 21=105.65882352941176, 22=10.0, 43=6.0, 52=2379.6392156862753, 31=384.55686274509804}",,
0000000000000000057c,CCO,1156489200000,14,,1156489200000,1,,0,POPPY FIRE,00184014,0.0,372.115,00184014,0,1,372.0,CA,1505897.84298,7130.50739556,LAC,2006,2006,"{71=5.4980392156862745, 21=25.352941176470587, 95=0.16862745098039217, 52=1642.0823529411753}",,
000000000000000005af,CCO,1152428400000,9,,1152687600000,1,,0,ARCO,00619153,0.0,698.128,KRN19153,0,1,698.132628186,CA,2825223.7093,9389.07299444,KRN,2006,2006,"{71=1541.4117647058831, 22=19.57254901960784, 23=4.992156862745097, 42=153.5921568627451, 43=166.91372549019607, 21=84.21176470588235, 52=1168.1176470588239}",,
000000000000000005b3,CCO,1154588400000,10,"KRN costs only, excluding straight time costs",1154588400000,1,,0,ANNETTE,00622511,0.0,1432.38,KRN22511,0,1,1432.34895063,CA,5796633.62168,14908.1928756,KRN,2006,2006,"{82=221.76470588235296, 71=6075.690196078436, 23=0.2235294117647059, 21=79.38039215686275, 31=63.0}",,
0000000000000000067a,CCO,1148626800000,2,"KRN costs only, excluding straight time costs",1148713200000,1,,0,ENERGY,00614126,0.0,779.998,KRN14126,0,1,779.998225946,CA,3156538.43083,11548.8830649,KRN,2006,2006,"{71=871.905882352941, 23=3.2274509803921565, 42=41.73725490196078, 22=15.545098039215688, 21=51.41960784313724, 52=2522.925490196078}",,
0000000000000000067b,CCO,1149404400000,9,"KRN costs only, excluding straight time costs",1149404400000,1,,0,DEVIL,00615092,0.0,1090.19,KRN15092,0,1,1090.1771126,CA,4411835.46462,12583.0808887,KRN,2006,2006,"{71=4830.909803921573, 82=6.003921568627449, 21=0.058823529411764705, 22=0.7333333333333334, 52=22.337254901960783, 11=2.6745098039215685, 31=38.87450980392157}",,
00000000000000000462,CCO,1184828400000,14,,1184828400000,1,,0,MOUNTAIN,00717959,0.0,840.558,00717959,0,1,840.56,CA,3401618.78079,10229.115226,KRN,2007,2007,"{71=1314.1137254901957, 42=1060.5960784313725, 41=213.64313725490197, 43=4.83921568627451, 21=84.13333333333333, 52=1101.7647058823522}",,
00000000000000000006,CDF,1164873600000,11,,1164960000000,1,,0,OPEN,00001162,0.0,308.892,00011123,0,1,296.0,CA,1250041.35525,5529.57349498,MVU,2006,2006,"{71=542.447058823529, 42=6.015686274509804, 43=7.0, 21=38.4078431372549, 52=794.776470588235}",,
