system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
00000000000000000055,BLM,1212822000000,9,,1212822000000,1,,0,ACOMA,,0.0,356.721,006343,0,1,356.0,CA,1443596.72626,5421.41661887,CDD,2008,2008,"{71=7.0, 22=8.176470588235293, 21=93.81960784313725, 52=1494.764705882352}",,
00000000000000000104,BLM,1249110000000,1,,1249110000000,1,,0,MENDIBOUREAU,,0.0,1426.45,00003703,0,1,1500.0,CA,5772639.15674,22437.4395861,NOD,2009,2009,"{71=1.2313725490196077, 90=5.43921568627451, 42=646.8274509803921, 41=0.13333333333333333, 43=60.23921568627452, 95=10.090196078431372, 52=5689.164705882354}",,
0000000000000000011d,BLM,1273906800000,2,,1274338800000,1,,0,COTTON,FD3N,0.0,2037.97,00001112,0,1,2044.0,CA,8247355.18755,16443.4368301,BBD,2010,2010,"{71=6231.243137254901, 21=33.87843137254901, 52=2894.92156862745, 31=3.0}",,
0000000000000000011e,BLM,1273906800000,2,,1273906800000,1,,0,WASH,FD4B,0.0,947.434,00001133,0,1,946.0,CA,3834130.65266,9035.39705742,BBD,2010,2010,"{71=3520.7725490196067, 22=0.996078431372549, 21=24.839215686274507, 52=712.964705882353}",,
0000000000000000011f,BLM,1279177200000,1,KRN 1020148,1279436400000,1,,0,BODFISH,FLK9,0.0,551.715,00002466,0,1,552.0,CA,2232712.03393,7435.32540082,BBD,2010,2010,"{71=523.027450980392, 42=1.0, 21=72.27450980392157, 52=1884.168627450981}",,
00000000000000000134,BLM,1280127600000,1,final,1281423600000,1,,0,MCDONALD,FNP8,0.0,9406.03,00003688,0,1,9408.0,CA,3.80648640576E7,66226.3679022,NOD,2010,2010,"{71=6575.847058823532, 43=137.5607843137255, 42=1007.2235294117647, 90=39.294117647058826, 95=2.8666666666666667, 52=34529.45882352944}",,
0000000000000000007f,CCO,1223881200000,8,,1223967600000,1,,0,ANGEL ISLAND FIRE,08-2428,0.0,302.991,082428,0,1,380.0,CA,1226160.71397,5543.70784699,MRN,2008,2008,"{71=69.1843137254902, 21=12.058823529411766, 43=254.3607843137255, 41=49.56862745098039, 23=0.3764705882352941, 42=34.87058823529412, 22=16.443137254901963, 11=0.10196078431372549, 52=925.1294117647059}",,
00000000000000000127,CCO,1273906800000,9,SRA = 190ac FRA = 140ac,1273906800000,1,,0,METSON,,0.0,330.066,01013254,0,1,360.0,CA,1335729.74303,6512.17530195,KRN,2010,2010,"{21=123.20784313725493, 71=1360.5960784313725}",,
00000000000000000129,CCO,1280214000000,2,,1281078000000,1,,0,WEST,,0.0,1637.73,01021461,0,1,1650.0,CA,6627644.30824,17537.694934,KRN,2010,2010,"{71=239.91372549019601, 42=216.2509803921569, 22=0.49411764705882355, 21=173.32549019607848, 52=6733.258823529419}",,
0000000000000000013a,CCO,1278918000000,14,Data collected by B. Tanner SBC (805)686-5068,1279004400000,1,,0,166,,0.0,356.938,10-6024,0,1,357.0,CA,1444478.51249,6078.94122146,SBC,2010,2010,"{21=136.43137254901958, 71=619.0470588235293, 52=849.2745098039219}",,
00000000000000000051,CDF,1205650800000,4,Fire Cause: Blown over camp stove.,1205996400000,1,,0,BLUFF,,0.0,766.731,002993,0,1,680.0,CA,3102850.3194,10708.4510101,BDU,2008,2008,"{82=51.12549019607843, 71=64.80000000000003, 81=1898.0392156862745, 90=73.83921568627453, 95=803.2274509803922, 52=556.3490196078432}",,
00000000000000000057,CDF,1213945200000,10,75 structures destroyed,1214118000000,1,,0,TRABING,,0.0,594.264,005581,0,1,590.0,CA,2404902.97187,7714.38523899,CZU,2008,2008,"{71=183.55686274509804, 90=3.4941176470588236, 21=452.30980392156863, 82=72.56470588235294, 43=543.7764705882353, 23=18.24705882352941, 42=512.9803921568628, 22=142.4392156862745, 95=8.984313725490196, 52=733.2784313725489}",,
00000000000000000058,CDF,1213167600000,4,11 structures destroyed,1213599600000,1,,0,MARTIN,,0.0,482.79,005238,0,1,520.0,CA,1953783.4025,8416.49139711,CZU,2008,2008,"{71=0.41960784313725485, 43=716.7372549019608, 42=1063.466666666666, 22=4.0, 21=74.08627450980391, 52=311.843137254902}",,
00000000000000000061,CDF,1214031600000,1,Mendocino Lightning Complex,1215759600000,1,,0,HARDY CREEK LIGHTNING,,0.0,5354.22,004973,0,1,5354.0,CA,2.16677440161E7,45460.8786445,MEU,2008,2008,"{71=2795.6470588235293, 90=125.85882352941174, 21=1031.839215686274, 43=103.9921568627451, 82=1.0, 42=19178.854901960753, 23=1.6745098039215687, 41=39.450980392156865, 22=23.376470588235296, 11=5.0, 52=766.9411764705883}",,
00000000000000000062,CDF,1215154800000,1,Mendocino Lightning Complex,1215673200000,1,,0,LOST PIPE,,0.0,1187.17,005136,0,1,1187.0,CA,4804310.4643,15154.0018804,MEU,2008,2008,"{71=502.3176470588235, 42=4705.9960784313735, 21=93.30588235294117, 52=36.0}",,
00000000000000000063,CDF,1214204400000,1,Mendocino Lightning Complex,1216105200000,1,,0,MIDDLE,,0.0,2067.14,004807,0,1,2067.0,CA,8365432.41755,21665.6677917,MEU,2008,2008,"{71=1357.5176470588237, 90=0.7137254901960784, 43=27.08235294117647, 42=6554.890196078425, 23=1.9647058823529413, 41=4.184313725490196, 22=38.21960784313725, 21=775.5450980392169, 52=533.9764705882352}",,
00000000000000000064,CDF,1214031600000,1,Mendocino Lightning Complex,1215846000000,1,,0,BRUSHY 3,,0.0,327.016,004669,0,1,327.0,CA,1323388.45199,5703.71261498,MEU,2008,2008,"{42=689.9882352941178, 41=186.0078431372549, 43=261.70196078431366, 21=43.537254901960786, 52=289.1372549019608}",,
00000000000000000065,CDF,1214463600000,1,Mendocino Lightning Complex,1215846000000,1,,0,INDIAN,,0.0,2095.89,004884,0,1,2096.0,CA,8481779.83332,14892.4607771,MEU,2008,2008,"{42=8831.94901960785, 21=300.6666666666668, 71=291.0}",,
