system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
000000000000000001db,USF,1369638000000,4,FIMT,1375340400000,0,,0,WHITE,,0.0,1912.05,00001473,0,1,1984.0,CA,7737790.7115,21099.5575219,LPF,2013,2013,"{71=7022.23137254902, 90=31.760784313725487, 95=123.6392156862745, 22=16.568627450980394, 42=63.698039215686265, 43=275.98431372549027, 21=406.36470588235295, 52=656.450980392157}",,
000000000000000002b7,USF,1439535600000,9,IR heat perimeter; WFDSS,1446274800000,0,,0,WALKER,00000033,0.0,3815.89,001319,0,0,3676.0,CA,1.54423412303E7,32478.1952249,INF,2015,2015,"{71=798.6784313725492, 90=77.93725490196078, 41=16.0, 42=2041.7607843137243, 52=14200.117647058829, 95=13.0, 31=9.556862745098039}",,
000000000000000001d2,CCO,1368687600000,14,USFS # 000128  Kern Co #1315573,1369206000000,1,,0,GRAND,,0.0,4345.26,,0,1,0.0,CA,1.75846430255E7,28209.7972355,KRN,2013,2013,"{71=17240.14117647055, 90=5.0, 21=725.2941176470584, 22=28.72156862745098, 23=10.113725490196078, 42=811.2745098039217, 43=14.38823529411765, 52=693.423529411764, 31=9.0}",,
000000000000000001d3,CCO,1374130800000,3,USFS # 002198 Kern Co # 13-23542,1374476400000,1,,0,RANCHO,,0.0,712.046,,0,1,0.0,CA,2881547.913,8015.24438216,KRN,2013,2013,"{71=1246.741176470589, 22=21.254901960784313, 23=4.768627450980392, 42=154.74509803921572, 43=170.3921568627451, 21=85.12156862745098, 52=1518.3529411764705}",,
000000000000000001d4,CCO,1374562800000,14,Kern Co # 13-24091,1374562800000,1,,0,WATER,,0.0,612.621,,0,1,0.0,CA,2479188.23183,8924.72430364,KRN,2013,2013,"{71=1624.3686274509812, 43=106.63529411764706, 23=1.5686274509803921, 42=173.66666666666666, 22=11.603921568627452, 21=2.2078431372549017, 52=834.2509803921573}",,
00000000000000000208,CCO,1399964400000,11,tree branches blown into power lines,1400482800000,1,,0,MIGUELITO,,0.0,631.814,005573,0,1,632.0,CA,2556859.37711,10840.006772,SBC,2014,2014,"{71=206.16078431372546, 90=18.0, 21=5.627450980392157, 43=453.7568627450981, 42=177.5137254901961, 22=18.40392156862745, 52=1843.870588235295, 95=57.16470588235293, 31=59.9607843137255}",,
00000000000000000274,CCO,1433487600000,14,,1433574000000,1,,0,POPPY,,0.0,410.679,154023,0,1,414.0,CA,1661960.44659,14798.2026331,LAC,2015,2015,"{71=50.47058823529412, 21=24.807843137254903, 52=1770.1647058823535, 31=0.44313725490196076}",,
00000000000000000275,CCO,1435129200000,14,,1435302000000,1,,0,CALGROVE,,0.0,364.396,173220,0,1,390.0,CA,1474658.25687,9094.81622691,LAC,2015,2015,"{71=545.027450980392, 22=11.525490196078428, 23=4.5058823529411764, 42=42.52941176470588, 43=19.16078431372549, 21=73.93725490196077, 52=941.5960784313722}",,
000000000000000001cd,CDF,1375772400000,14,,1377154800000,1,,0,SWEDES,,0.0,2462.24,00010969,0,1,2462.0,CA,9964329.9642,15438.0296269,BTU,2013,2013,"{71=7888.596078431379, 42=2636.72156862745, 41=5.490196078431373, 43=10.733333333333334, 52=529.2823529411766}",,
000000000000000001d8,CDF,1380783600000,14,,1380870000000,1,,0,PUTAH,,0.0,303.927,00008566,0,1,304.0,CA,1229948.10282,7447.6423025,LNU,2013,2013,"{71=482.78039215686283, 21=46.88235294117648, 90=3.098039215686275, 95=562.7254901960783, 52=270.6470588235294}",,
000000000000000001dd,CDF,1371366000000,10,,1371538800000,1,,0,ROLLING,,0.0,481.957,00009861,0,1,480.0,CA,1950411.19207,9337.4713166,MMU,2013,2013,"{21=36.898039215686275, 22=3.0, 71=2126.603921568627}",,
000000000000000001e0,CDF,1373094000000,14,USFS # 000042,1373871600000,1,,0,CHARIOT,,0.0,7084.67,00014084,0,1,7055.0,CA,2.86706532881E7,44541.0236322,MVU,2013,2013,"{71=25101.60784313725, 90=4.0, 41=12.0, 82=4.0, 21=356.01176470588223, 22=150.79215686274512, 23=0.19607843137254902, 42=521.2235294117647, 43=176.24705882352944, 52=5233.854901960784, 31=294.6823529411765}",,
000000000000000001e1,CDF,1369292400000,18,,1369638000000,1,,0,FELIPE,,0.0,2780.29,00010345,0,1,2780.0,CA,1.12514383534E7,18861.4377665,MVU,2013,2013,"{71=11667.46666666668, 90=41.03921568627451, 21=452.686274509804, 42=0.5568627450980392, 22=8.79607843137255, 95=23.807843137254903, 52=306.69411764705876}",,
000000000000000001e2,CDF,1369551600000,9,,1369983600000,1,,0,GENERAL,,0.0,1270.87,00011025,0,1,1271.0,CA,5143012.27792,17904.2890595,MVU,2013,2013,"{71=4899.866666666669, 21=38.4313725490196, 42=8.133333333333333, 22=2.980392156862745, 52=740.5372549019606, 31=23.674509803921566}",,
000000000000000001e7,CDF,1372662000000,11,,1372834800000,1,,0,KIRKER,,0.0,478.044,00003899,0,1,0.0,CA,1934574.76645,5994.31982742,SCU,2013,2013,"{71=943.2666666666667, 22=11.23529411764706, 23=0.6941176470588235, 41=10.0, 43=398.36862745098034, 21=3.1137254901960785, 52=782.9137254901957}",,
000000000000000001e8,CDF,1378623600000,9,,1379314800000,1,,0,MORGAN,,0.0,3107.73,00005452,0,1,3100.0,CA,1.25765231319E7,18738.3400983,SCU,2013,2013,"{71=10780.576470588232, 43=2118.4509803921574, 41=7.0, 23=2.0, 42=33.33725490196078, 22=6.474509803921569, 21=115.99607843137258, 52=909.439215686274}",,
000000000000000001f9,CDF,1406358000000,10,,1406703600000,1,,0,SAND,,0.0,4239.27,018237,0,1,4240.0,CA,1.71557248398E7,29457.4198418,AEU,2014,2014,"{71=269.80784313725496, 42=15795.058823529409, 41=69.7686274509804, 43=40.0, 21=42.74509803921569, 52=2843.019607843137}",,
000000000000000001fb,CDF,1406530800000,2,,1409122800000,1,,0,WEB,,0.0,377.856,010700,0,1,389.0,CA,1529129.14764,6157.84666824,BTU,2014,2014,"{42=1657.9176470588227, 71=4.0, 52=37.0}",,
000000000000000001fc,CDF,1388822400000,5,,1389168000000,1,,0,RED,,0.0,332.174,000081,0,1,0.0,CA,1344258.76388,8796.67287974,HUU,2014,2014,"{71=784.1411764705884, 42=523.6392156862745, 22=0.8196078431372549, 21=19.67843137254901, 52=165.0313725490196}",,
000000000000000001fe,CDF,1406703600000,1,,1407913200000,1,,0,DAY,,0.0,13150.7,003472,0,1,13153.0,CA,5.32188577842E7,52049.5524627,LMU,2014,2014,"{71=1863.7607843137257, 90=1549.7450980392155, 43=11.094117647058825, 42=47767.06666666667, 41=160.3372549019608, 21=534.6745098039218, 95=789.3254901960784, 52=6453.847058823529}",,
00000000000000000203,CDF,1410332400000,10,,1410505200000,1,,0,GULCH,,0.0,1374.7,008322,0,1,1374.0,CA,5563227.42854,13438.8612084,SHU,2014,2014,"{71=345.71372549019605, 41=206.46274509803925, 42=318.82352941176475, 43=12.0, 52=5297.8}",,
00000000000000000206,CDF,1401087600000,14,,1401865200000,1,,0,HUNTER FIRE,,0.0,690.982,008974,0,1,0.0,CA,2796305.03191,11458.3621753,MMU,2014,2014,"{71=166.77254901960782, 41=29.98039215686274, 42=337.3450980392156, 43=74.28235294117647, 52=2498.1764705882347}",,
00000000000000000207,CDF,1408345200000,14,,1408950000000,1,,0,JUNCTION FIRE,,0.0,612.156,014633,0,1,0.0,CA,2477305.95263,12450.5724124,MMU,2014,2014,"{71=30.443137254901963, 24=6.0, 22=64.02745098039215, 42=1762.6745098039203, 23=39.199999999999996, 41=56.75686274509804, 43=36.90196078431372, 21=26.40392156862745, 52=729.5725490196079}",,
0000000000000000021e,CDF,1412751600000,14,6 Res Destroyed 4 Outbuilding Destroyed,1412751600000,1,,0,APPLEGATE,,0.0,458.975,023454,0,1,459.0,CA,1857407.8089,12858.9184597,NEU,2014,2014,"{71=1.0, 22=14.662745098039213, 42=1850.529411764704, 23=1.1019607843137256, 41=24.847058823529412, 43=53.0392156862745, 21=91.46666666666667, 52=26.599999999999998}",,
00000000000000000222,CDF,1400050800000,14,<Null>,1400482800000,1,,0,HIGHWAY,,0.0,441.028,010173,0,1,438.0,CA,1784778.37901,8271.75637884,MVU,2014,2014,"{71=13.141176470588231, 24=0.0196078431372549, 22=8.509803921568627, 23=4.1764705882352935, 81=54.72156862745097, 42=3.3450980392156864, 43=3.7529411764705882, 21=33.33333333333333, 52=1861.7568627450974}",,
0000000000000000026f,CDF,1441868400000,14,,1443423600000,1,,0,BUTTE,,0.0,70846.5,024918,0,1,70868.0,CA,2.86705732662E8,154072.784549,AEU,2015,2015,"{71=8433.45882352941, 90=40.0, 22=273.0588235294117, 23=6.12156862745098, 82=81.0, 21=4490.501960784316, 42=242489.78039215688, 41=1300.7960784313723, 43=7415.623529411762, 11=107.34509803921569, 52=53918.799999999996}",,
00000000000000000270,CDF,1435820400000,7,,1435820400000,1,,0,IONE,,0.0,357.59,017193,0,1,357.0,CA,1447116.53582,7939.30246109,AEU,2015,2015,"{21=12.901960784313726, 71=1573.709803921569, 52=21.011764705882353}",,
00000000000000000272,CDF,1442646000000,7,,1443510000000,1,,0,TASSAJARA,,0.0,1075.52,004217,0,1,1100.0,CA,4352472.05408,10990.1019822,BEU,2015,2015,"{71=126.4156862745098, 90=176.85098039215686, 21=164.65098039215687, 43=1667.4274509803927, 23=0.7607843137254902, 42=684.2196078431369, 22=2.0, 95=2.0, 52=2011.3333333333337}",,
00000000000000000273,CDF,1444633200000,11,,1444978800000,1,,0,CIENEGA,,0.0,686.783,004582,0,1,690.0,CA,2779313.5088,9913.13258317,BEU,2015,2015,"{71=1626.0392156862747, 43=40.976470588235294, 42=373.16078431372557, 90=8.16078431372549, 95=0.17254901960784313, 52=1039.580392156863}",,
0000000000000000027e,CDF,1437202800000,1,,1437548400000,1,,0,MCCABE,,0.0,1728.97,013970,0,1,1600.0,CA,6996908.29983,19103.3868389,MMU,2015,2015,"{82=26.0, 71=5219.7450980392105, 42=35.588235294117645, 43=2121.7647058823527, 52=370.6862745098039}",,
0000000000000000027f,CDF,1434610800000,11,,1435129200000,1,,0,CORRINE,,0.0,921.649,011662,0,1,880.0,CA,3729780.8501,13148.8547757,MMU,2015,2015,"{71=260.9411764705882, 21=201.14117647058822, 42=2400.4627450980383, 22=6.407843137254902, 11=1.0, 52=1273.505882352941}",,
00000000000000000280,CDF,1429340400000,4,,1429858800000,1,,0,HIGHWAY,,0.0,1048.69,044605,0,1,1049.0,CA,4243895.0012,14287.5023155,RRU,2015,2015,"{71=14.270588235294118, 90=131.0862745098039, 82=8.929411764705883, 21=3.725490196078431, 81=7.180392156862745, 22=14.64313725490196, 95=4434.611764705885, 11=10.219607843137254, 52=90.05882352941175}",,
00000000000000000281,CDF,1439190000000,10,,1439622000000,1,,0,ANZA,,0.0,543.537,090069,0,1,500.0,CA,2199614.76912,10307.6400012,RRU,2015,2015,"{43=8.984313725490196, 42=165.31764705882352, 22=0.1843137254901961, 21=52.60392156862744, 52=2216.6509803921576}",,
00000000000000000284,CDF,1435993200000,1,,1435993200000,1,,0,YORK,,0.0,398.423,005078,0,1,394.0,CA,1612360.48946,5842.98647537,SKU,2015,2015,"{71=770.8039215686276, 52=1020.5294117647057}",,
00000000000000000288,CDF,1441954800000,7,,1442818800000,1,,0,LUMPKIN,,0.0,1045.76,013357,0,1,1042.0,CA,4232025.34072,10669.1628632,BTU,2015,2015,"{71=3.16078431372549, 42=4573.427450980392, 41=65.55686274509804, 43=47.37647058823529, 11=0.28627450980392155, 52=12.125490196078433}",,
00000000000000000289,CDF,1437807600000,7,,1439708400000,1,,0,SWEDES,,0.0,390.022,010917,0,1,400.0,CA,1578362.5783,7302.25276014,BTU,2015,2015,"{71=20.376470588235296, 41=640.3960784313728, 42=942.6627450980393, 52=150.2078431372549}",,
