system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
000000000000000002d4,BLM,1463122800000,14,,1463209200000,1,,0,CUDDEBACK,,0.0,698.719,006849,0,1,709.0,CA,2827616.76541,11687.8380269,CDD,2016,2016,{52=3141.3764705882345},,
000000000000000002d6,BLM,1472281200000,14,,1472367600000,1,,0,HAVILAH 2,,0.0,303.8,002733,0,1,304.0,CA,1229433.32383,6834.981888,CND,2016,2016,"{71=472.27843137254894, 42=28.925490196078428, 22=3.0, 21=140.3137254901961, 52=721.3294117647062}",,
00000000000000000323,BLM,1491030000000,5,,1491202800000,1,,0,WEST,,0.0,401.288,00001810,0,1,0.0,CA,1623953.81689,5914.91350207,NOD,2017,2017,"{71=1776.3098039215688, 52=27.741176470588233}",,
000000000000000003b8,BLM,1533020400000,1,,1535526000000,1,,0,HOT CREEK,,0.0,436.23,00001396,0,1,436.0,CA,1765368.02174,9996.08365864,CND,2018,2018,{52=1961.1215686274502},,
000000000000000002ba,CCO,1472194800000,14,INC #1632226,1472540400000,1,,0,RANGE,,0.0,515.698,,0,1,600.0,CA,2086955.26928,6257.74409745,KRN,2016,2016,"{71=851.243137254902, 43=6.0, 42=5.0, 22=2.0823529411764703, 21=71.6627450980392, 52=1382.5098039215688}",,
000000000000000002bb,CCO,1467356400000,14,INC #1624109,1467615600000,1,,0,DEER,,0.0,1563.43,,0,1,1785.0,CA,6326972.94194,17821.6962779,KRN,2016,2016,"{71=5531.400000000002, 43=183.2039215686275, 42=723.3490196078432, 41=0.1843137254901961, 22=0.9254901960784314, 21=8.290196078431375, 52=582.0549019607842}",,
000000000000000002cb,CCO,1465023600000,2,SMNRA inc # 457,1465023600000,1,,0,OLD FIRE,,0.0,465.781,160799,0,1,0.0,CA,1884947.93563,11202.1419401,LAC,2016,2016,"{71=1840.760784313726, 22=28.070588235294107, 23=12.63921568627451, 42=6.0, 43=4.015686274509804, 21=114.24705882352943, 52=88.14117647058828}",,
00000000000000000300,CCO,1506668400000,10,,1507100400000,1,,0,RUCKER,,0.0,429.704,00012621,0,1,444.0,CA,1738951.00154,12415.7485244,SBC,2017,2017,"{71=55.90196078431373, 82=0.8823529411764706, 43=186.7725490196078, 23=0.01568627450980392, 42=115.76470588235294, 22=7.5137254901960775, 21=69.07058823529414, 52=1495.8901960784315}",,
0000000000000000031f,CCO,1495263600000,14,CA-KRN-018713,1495263600000,1,,0,MING,,0.0,449.778,01718713,0,1,0.0,CA,1820187.33421,8997.46647664,KRN,2017,2017,{71=2022.1921568627436},,
00000000000000000320,CCO,1499410800000,14,,1499410800000,1,,0,HAWK,,0.0,2940.5,01726219,0,1,0.0,CA,1.18997638087E7,21936.7762195,KRN,2017,2017,"{71=13075.843137254908, 22=2.0, 90=6.486274509803922, 21=73.52549019607844, 52=63.32549019607845}",,
00000000000000000321,CCO,1500361200000,14,CA-KERN-27936,1500361200000,1,,0,HUDSON,,0.0,1182.3,01727936,0,1,0.0,CA,4784603.46893,10316.1469195,KRN,2017,2017,"{71=5134.674509803922, 22=0.9764705882352941, 21=95.02352941176471, 52=85.04313725490196}",,
0000000000000000038e,CCO,1533279600000,14,,1533366000000,1,,0,TARINA,,0.0,3516.16,01831160,0,1,3516.0,CA,1.42294946191E7,23159.0377852,KRN,2018,2018,"{71=15763.333333333336, 52=46.611764705882365}",,
000000000000000003c3,CCO,1568098800000,14,,1568444400000,1,,0,MCMURRAY,,0.0,355.323,00011619,0,1,200.0,CA,1437940.70118,10703.4038664,SBC,2019,2019,"{71=337.2549019607843, 22=7.1686274509803924, 23=0.09803921568627451, 42=234.5764705882353, 43=15.780392156862746, 21=23.305882352941165, 52=979.0941176470584}",,
000000000000000003c5,CCO,1557212400000,2,,1557385200000,1,,0,REFUGE,,0.0,3332.43,01918282,0,1,3332.43095788,CA,1.34858696241E7,19407.8445304,KRN,2019,2019,"{71=7490.364705882352, 24=0.10588235294117647, 82=1660.0549019607838, 23=10.984313725490196, 21=267.3098039215686, 22=75.56470588235295, 95=5429.53725490196, 52=49.568627450980394}",,
000000000000000002b8,CDF,1467961200000,7,"Grass,Oak Woodland brush mix",1468998000000,1,,0,FIDDLER,,0.0,330.914,006739,0,1,20.0,CA,1339163.07858,7833.93619889,SHU,2016,2016,"{71=323.61568627450976, 42=2.0, 43=119.10980392156863, 21=61.309803921568644, 52=981.6039215686274}",,
