"","OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area"
"18141",18141,"1999","CA","NPS","YNP","LOST VALLEY","00000000",NA,NA,9,NA,0,889.362,0,1,"00000202",9387.1242226,3599120.30474
"18142",18142,"1999","CA","NPS","YNP","JUNCTION","00000000",NA,NA,9,NA,0,19.9974,0,1,"00000186",1055.19288329,80926.7952296
"18143",18143,"2004","CA","NPS","KNP","HOTSPRINGS","00000000",2004-08-12,2004-10-18,1,NA,332,331.792,2,2,"00000077",8019.68312488,1342713.92469
"18144",18144,"2000","CA","NPS","GNP","PT BONITA","00000035",2000-10-22,2000-11-01,8,NA,7,11.0389,6,1,"00000035",966.39851769,44672.8908124
"18145",18145,"2004","CA","NPS","GNP","TAM","00000003",2004-05-09,2004-05-18,14,NA,12,11.7914,1,1,"00000003",1822.99532516,47717.943244
"18146",18146,"1986","CA","NPS","KNP","MUIR GROV","00000000",1986-07-23,1986-09-16,1,NA,150,68.286,8,2,"00000018",3119.26685393,276343.485509
"18147",18147,"1986","CA","NPS","KNP","BALDY","00000000",1986-10-02,1987-01-05,1,NA,425,402.603,8,2,"00000043",7321.49703853,1629276.24764
"18148",18148,"1985","CA","NPS","YNP","CONCERT","00000000",NA,NA,9,NA,0,10.3844,0,1,"00000087",1099.46846318,42024.010408
"18149",18149,"1985","CA","NPS","YNP","IRON","00000000",NA,NA,9,NA,0,23.1923,0,1,"00000026",1206.03597105,93855.7891415
"18150",18150,"1988","CA","NPS","CNP","FRY'S HARBOR","00000000",1988-07-04,1988-07-04,9,"Fire documented in TNC fire history for Santa Cruz Island. Should add to SACS",1,0.971548,5,0,"00000002",234.556017191,3931.71584699
"18151",18151,"1932","CA","NPS","CNP","NORTH SHORE","00000000",NA,NA,9,"This big historic fire documented in TNC database. Ignit pt accuracy +-1.3km?",7582,7575.75,6,0,"00000000",28790.5980917,30657986.7557
"18152",18152,"2003","CA","NPS","CNP","DEL NORTE","00000000",2003-05-25,2003-05-25,4,"Moved ignit pt 75m to nearest level terrain for campsite. Accuracy +-200m?",0.1,0.093724,6,0,"00003000",69.0645838982,379.287401036
"18153",18153,"1994","CA","NPS","CNP","ANACAPA","00000000",1994-06-12,1994-06-12,2,"location, perim conjectural. SACS ignitpt relocated from 800m out to sea.",1,0.484718,6,0,"00000002",157.029927045,1961.5822216
"18154",18154,"1999","CA","NPS","CNP","SCORPION","00000000",1999-07-23,1999-07-23,2,"Ignit pt moved from SACS record 670m per NPS-CHIS ground GPS perimeter",8,6.55065,1,0,"00009907",795.635315942,26509.5321027
"18155",18155,"1959","CA","NPS","CNP","SANTA BARBARA","00000000",1959-07-13,1959-07-13,14,"Fire doc in CHIS FMP 1991. Ignit loc conjectural per text descript,+-500m?",432,431.672,6,0,"00000001",7441.68490413,1746914.83734
"18156",18156,"1998","CA","NPS","CNP","AIRSTRIP","00000000",1998-09-16,1998-09-17,2,"Accuracy +-20m? Perim from TNC GIS product by Lyndal Loughrin, Jeff Howarth.",1,2.02003,5,0,"00000001",425.9942879,8174.75551324
"18157",18157,"1989","CA","NPS","CNP","PELICAN","00000000",1989-06-17,1989-06-20,9,"SACs record name fireTWINHARBOR. But date, area = Pelican fire from TNC records",16,16.5586,5,0,"00000001",1032.18468475,67010.1880661
